NAME	URL	HOMEPAGE	DESCRIPTION	CREATED_AT
vsoch/caliper	https://github.com/vsoch/caliper	https://caliper-python.readthedocs.io/	Caliper is a tool for measuring and assessing change in packages.	2020-12-18T20:52:32Z
vsoch/caliper-analysis	https://github.com/vsoch/caliper-analysis		developing grid analysis for caliper to test scripts across dependency and python versions	2021-01-02T00:23:34Z
vsoch/caliper-metrics	https://github.com/vsoch/caliper-metrics		Metrics extracted for packages using caliper (the caliper data repository)	2020-12-20T21:32:28Z
vsoch/carrierseq	https://github.com/vsoch/carrierseq		a sequence analysis workflow for low-input nanopore sequencing	2017-08-23T04:06:12Z
vsoch/cdb	https://github.com/vsoch/cdb	https://vsoch.github.io/cdb/	Container database metadata extraction and data-container builder	2020-06-12T21:07:52Z
vsoch/cegid	https://github.com/vsoch/cegid		Center for Genomic Immune Diseases (Docker)	2016-08-04T00:24:31Z
vsoch/chat	https://github.com/vsoch/chat		a django application for real time collaborative survey taking	2017-04-25T03:28:20Z
vsoch/chonker-awards	https://github.com/vsoch/chonker-awards	https://vsoch.github.io/chonker-awards/	A shoutout to the top chonker repositories on GitHub.	2021-01-29T20:09:54Z
vsoch/chris-computer	https://github.com/vsoch/chris-computer		should have bought a pc... 	2015-09-11T05:20:47Z
vsoch/chunkRank	https://github.com/vsoch/chunkRank		The Chunk Indifferent Ranking Algorithm for scoring accuracy of grouped ranked list	2015-04-14T22:39:54Z
vsoch/circleci-orbs	https://github.com/vsoch/circleci-orbs	https://circleci.com/orbs/registry	The source code for some of the orbs published by CircleCI	2019-01-03T19:13:48Z
vsoch/cloud-builders-community	https://github.com/vsoch/cloud-builders-community	https://cloud.google.com/cloud-build/	Community-contributed images for Google Cloud Build	2019-01-26T16:25:40Z
vsoch/cMapParse	https://github.com/vsoch/cMapParse		Functions to select, read, and filter connectivity map (cmap) data instances, for input into a GSEA analysis	2014-04-13T21:28:58Z
vsoch/codeart	https://github.com/vsoch/codeart	https://github.com/vsoch/codeart-examples	data visualization for code (experimental project)	2019-12-31T23:18:22Z
vsoch/codeart-examples	https://github.com/vsoch/codeart-examples	https://vsoch.github.io/codeart-examples/parse_repo/sorted/	Separate examples repository for codeart Python module, since data and image files tend to be large.	2020-01-05T19:13:18Z
vsoch/cogat	https://github.com/vsoch/cogat	http://www.cognitiveatlas.org	Cognitive Atlas	2015-01-24T23:32:05Z
vsoch/cogat-app	https://github.com/vsoch/cogat-app		testing electron app for Cognitive Atlas #noob	2015-12-23T22:51:37Z
vsoch/cogat-docker	https://github.com/vsoch/cogat-docker		testing implementation of Cognitive Atlas as neo4j served with docker, for some application	2015-12-23T20:24:13Z
vsoch/cogat-neo4j	https://github.com/vsoch/cogat-neo4j		convert cognitive atlas dumps into neo4j graph database	2015-10-05T05:17:08Z
vsoch/cogat-neurovault	https://github.com/vsoch/cogat-neurovault	https://vsoch.github.io/cogat-neurovault/	Flask application to show Cognitive Atlas contrasts in Neurovault	2018-06-17T22:18:56Z
vsoch/cogatcloud	https://github.com/vsoch/cogatcloud	http://vsoch.github.io/cogatcloud	word cloud to show cognitive concepts associated with voxelwise encoding models	2016-05-26T00:09:10Z
vsoch/cogatpheno-vm	https://github.com/vsoch/cogatpheno-vm		virtual machine deployment of CogatPheno application	2015-08-19T23:51:17Z
vsoch/cogatvoxel	https://github.com/vsoch/cogatvoxel	http://vsoch.github.io/cogatvoxel/	Version 2 of Cognitive Atlas visualization to show concepts associated with brain region voxels	2016-04-09T20:48:12Z
vsoch/cogat_voxel	https://github.com/vsoch/cogat_voxel	https://vsoch.github.io/cogat_voxel	voxelwise visualization (interactive Flask application) for Cognitive Atlas decoding model	2016-04-05T19:20:53Z
vsoch/CogPheno	https://github.com/vsoch/CogPheno		Cognitive Atlas Phenotypes	2015-06-21T21:06:17Z
vsoch/community-stanford	https://github.com/vsoch/community-stanford	https://us-rse.org/community-stanford/	The Stanford University community of Research Software Engineers	2019-06-13T17:56:17Z
vsoch/compare-os-fun	https://github.com/vsoch/compare-os-fun		just a little fun to run on a cluster :)	2017-01-26T02:08:50Z
vsoch/confucious-actions	https://github.com/vsoch/confucious-actions		Various actions to add confucious wisdom on pull request success, fail, etc.	2018-12-03T13:29:23Z
vsoch/confucious-actions-example	https://github.com/vsoch/confucious-actions-example		An example of using vsoch/confucious-actions	2018-12-03T16:01:44Z
vsoch/container	https://github.com/vsoch/container		Learning what a container is by making one	2018-10-16T23:17:21Z
vsoch/container-diff	https://github.com/vsoch/container-diff		container-diff: Diff your Docker containers	2018-05-01T10:30:37Z
vsoch/container-ipfs	https://github.com/vsoch/container-ipfs			2017-12-04T00:34:13Z
vsoch/containerdb	https://github.com/vsoch/containerdb		In memory database for container metadata (under development)	2020-06-09T23:09:27Z
vsoch/containers-story	https://github.com/vsoch/containers-story		A story of how people influence software design.	2020-11-23T06:57:51Z
vsoch/containershare	https://github.com/vsoch/containershare	https://vsoch.github.io/containershare	open source, transparent container registry for reproducible science	2018-07-23T20:38:49Z
vsoch/containershare-python	https://github.com/vsoch/containershare-python		python utils for working with containershare library	2018-07-30T11:42:43Z
vsoch/containertree	https://github.com/vsoch/containertree	https://vsoch.github.io/containertree/	Github action example to deploy container-diff derived tree to Github pages, along with container metadata	2019-01-09T12:13:27Z
vsoch/containeye	https://github.com/vsoch/containeye		general visualization and comparison metrics for containers	2016-08-02T00:41:06Z
vsoch/continuous-build	https://github.com/vsoch/continuous-build		Show how to use continuous integration to test your dependency specifications	2018-07-17T14:43:04Z
vsoch/contributions-django	https://github.com/vsoch/contributions-django		Django module to create GitHub style contributions graph	2020-08-03T18:13:24Z
vsoch/convert-swf	https://github.com/vsoch/convert-swf		a container to convert swf files to mp4 (video)	2018-01-25T21:17:58Z
vsoch/cookie-builder	https://github.com/vsoch/cookie-builder		a cookiecutter template for a repo2docker continuous build repository	2018-07-21T07:52:33Z
vsoch/cookies	https://github.com/vsoch/cookies	https://vsoch.github.io/cookies/	the cookies dataset is an example dataset that shows turning a static repository into a JSON API standardized resources for images and text	2017-05-25T01:12:42Z
vsoch/Cosmos-GCE	https://github.com/vsoch/Cosmos-GCE		Cluster to run on GCE for Cosmos and Genomekey	2014-02-05T00:11:12Z
vsoch/cottontail	https://github.com/vsoch/cottontail			2016-06-09T22:37:08Z
vsoch/cottontail-editors	https://github.com/vsoch/cottontail-editors			2016-06-09T22:24:02Z
vsoch/countdown	https://github.com/vsoch/countdown		when is Gilfish coming home?	2016-12-16T05:56:40Z
vsoch/coverage-check	https://github.com/vsoch/coverage-check			2016-10-28T17:15:39Z
vsoch/cRapinator	https://github.com/vsoch/cRapinator		Rserver to run on some VM to provide programmatic access to R functions and plotting	2015-08-23T20:38:56Z
vsoch/cromwell	https://github.com/vsoch/cromwell	http://cromwell.readthedocs.io/	Scientific workflow engine designed for simplicity & scalability. Trivially transition between one off use cases to massive scale production environments	2018-08-13T13:24:46Z
vsoch/cs106b-builder	https://github.com/vsoch/cs106b-builder		a Singularity container for build and run of QT-creator projects. Does not include any project content.	2018-11-09T05:35:26Z
vsoch/d3confusion	https://github.com/vsoch/d3confusion		interactive confusion matrix with flask and d3	2015-06-06T22:06:46Z
vsoch/dask-jobqueue	https://github.com/vsoch/dask-jobqueue	https://jobqueue.dask.org	Deploy Dask on job schedulers like PBS, SLURM, and SGE	2020-07-26T19:16:52Z
vsoch/data-container	https://github.com/vsoch/data-container		the dinosaur data container for interaction with dinosaur data datasets!	2018-06-01T20:27:16Z
vsoch/datalad	https://github.com/vsoch/datalad	http://datalad.org	Keep scientific data under control with git  and git-annex	2018-09-15T15:11:48Z
vsoch/datalad-crawler	https://github.com/vsoch/datalad-crawler	http://datalad.org	DataLad extension for tracking web resources as datasets	2018-09-15T01:21:02Z
vsoch/datasets	https://github.com/vsoch/datasets	https://vsoch.github.io/datasets/	open source datasets for machine learning, the dinosaur datasets	2018-05-28T12:59:58Z
vsoch/dataverse	https://github.com/vsoch/dataverse	http://dataverse.org	A data repository framework to share and publish research data.	2018-05-25T22:13:47Z
vsoch/dataverse-docker	https://github.com/vsoch/dataverse-docker		Dataverse repository for running with Docker in Kubernetes and other Cloud services	2018-05-26T20:12:55Z
vsoch/decoding	https://github.com/vsoch/decoding		Decoding of fMRI contrasts using neurovault images tagged with terms from the Cognitive Atlas	2015-06-13T23:46:18Z
vsoch/deepdive	https://github.com/vsoch/deepdive	deepdive.stanford.edu	DeepDive	2015-09-01T21:05:31Z
vsoch/deepdream-docker	https://github.com/vsoch/deepdream-docker		Docker Container for Google's DeepDream project intended for use to create open source art	2018-08-08T22:28:09Z
vsoch/DevelopmentalEnrichment	https://github.com/vsoch/DevelopmentalEnrichment		Enrichment of disorders in brainspan Developmental data	2014-11-17T19:51:49Z
vsoch/dinosaur-detective	https://github.com/vsoch/dinosaur-detective		look out, the dinosaur detective!	2018-08-23T02:08:03Z
vsoch/dinosaur-dilemma	https://github.com/vsoch/dinosaur-dilemma		attempt at a fun simulation to evolve avocado eating dinosaurs	2020-01-11T18:41:03Z
vsoch/dinosaur-lessons	https://github.com/vsoch/dinosaur-lessons		dinosaur is teaching!	2018-08-04T22:00:28Z
vsoch/dinosaur_data	https://github.com/vsoch/dinosaur_data			2018-05-31T22:46:15Z
vsoch/discourse	https://github.com/vsoch/discourse	https://www.discourse.org	A platform for community discussion. Free, open, simple.	2019-07-08T20:08:55Z
vsoch/discourse-compose	https://github.com/vsoch/discourse-compose		docker-compose with discourse 	2019-07-07T21:27:15Z
vsoch/discourse-question-answer	https://github.com/vsoch/discourse-question-answer		Discourse Question Answer Plugin	2019-07-10T14:58:28Z
vsoch/discourse_api	https://github.com/vsoch/discourse_api		Ruby API for Discourse	2019-09-13T17:02:53Z
vsoch/DisorderBehavior	https://github.com/vsoch/DisorderBehavior		Methods to link disorders to behaviors, and do disorder comparison	2014-11-08T23:40:48Z
vsoch/DisorderEnrichment	https://github.com/vsoch/DisorderEnrichment		Enrichment of disorders in Allen Brain Atlas	2014-11-17T19:49:06Z
vsoch/distribution-spec	https://github.com/vsoch/distribution-spec	https://opencontainers.org	OCI Distribution Specification	2019-02-26T17:05:14Z
vsoch/django-colorfield	https://github.com/vsoch/django-colorfield		a small app providing a colorpicker field for django	2017-12-09T10:33:56Z
vsoch/django-create-benchmark	https://github.com/vsoch/django-create-benchmark		benchmarking different ways to create and update a large matrix with Django + Postgres	2020-09-07T20:11:23Z
vsoch/django-filemanager	https://github.com/vsoch/django-filemanager		A simple and standalone file manager and browser for django projects.	2020-12-13T19:24:37Z
vsoch/django-nginx-upload	https://github.com/vsoch/django-nginx-upload		example of using nginx upload module with Django!	2018-06-16T21:53:29Z
vsoch/django-oauth-toolkit	https://github.com/vsoch/django-oauth-toolkit		OAuth2 goodies for the Djangonauts!	2017-06-11T02:30:12Z
vsoch/django-oci	https://github.com/vsoch/django-oci	https://vsoch.github.io/django-oci/	Open Containers distribution spec module for Django (under development)	2020-03-24T22:57:38Z
vsoch/dna-seq	https://github.com/vsoch/dna-seq			2020-11-14T23:03:06Z
vsoch/dna-seq-varlociraptor	https://github.com/vsoch/dna-seq-varlociraptor			2020-01-17T16:49:50Z
vsoch/DNS	https://github.com/vsoch/DNS		Methods for analysis of Duke NeuroGenetics Study data - goal is to make connections between behavior and genes!	2014-10-18T16:35:19Z
vsoch/docfish	https://github.com/vsoch/docfish		annotation and markup of text and images for Stanford University	2017-04-22T02:16:37Z
vsoch/docker-builder	https://github.com/vsoch/docker-builder		vanilla CI to build a Docker image and deploy to Docker Hub	2018-07-03T10:26:32Z
vsoch/docker-orb	https://github.com/vsoch/docker-orb	https://circleci.com/orbs/registry/orb/circleci/docker	Install/use various Docker-related tools on CircleCI	2019-09-10T21:35:37Z
vsoch/docker-pull	https://github.com/vsoch/docker-pull		Save your Docker Hub containers from ultimate doom!	2020-08-14T19:45:57Z
vsoch/docker-r	https://github.com/vsoch/docker-r		A small (alpine base) image with Docker and R installed.	2019-03-08T22:22:53Z
vsoch/docker-rize	https://github.com/vsoch/docker-rize		The {rize} package to build shiny applications in Docker, a base image for CI	2019-03-09T00:45:44Z
vsoch/docker-share	https://github.com/vsoch/docker-share	https://vsoch.github.io/docker-share	a build->test->deploy containershare template for a general Docker container https://vsoch.github.io/containershare	2018-08-01T13:15:48Z
vsoch/docker2singularity-go	https://github.com/vsoch/docker2singularity-go		Make a singularity sandbox container from a docker registry (or other) image	2018-02-22T22:55:35Z
vsoch/dockerfile-packages	https://github.com/vsoch/dockerfile-packages		a dinosaur dataset for 500K Docker containers and their Pip (python) and Apt (debian) packages	2019-01-20T20:58:18Z
vsoch/docsy-jekyll	https://github.com/vsoch/docsy-jekyll	https://vsoch.github.io/docsy-jekyll/	A Jekyll version of the beautiful Docsy!	2019-07-26T21:14:48Z
vsoch/drain-log	https://github.com/vsoch/drain-log	https://vsoch.github.io/drain-log	interactive plot and table to track daily output of JP-Drain as compared to a benchmark	2015-07-05T20:42:13Z
vsoch/drupal-docker-compose	https://github.com/vsoch/drupal-docker-compose		An example docker-compose setup to create a development environment for an existing Drupal install	2020-03-27T22:50:47Z
vsoch/dwv	https://github.com/vsoch/dwv	https://ivmartel.github.io/dwv/	DICOM Web Viewer: open source zero footprint medical image viewer.	2018-08-27T18:12:40Z
vsoch/dxWDL	https://github.com/vsoch/dxWDL		Workflow Description Language compiler for the DNAnexus platform	2018-07-17T15:47:23Z
vsoch/easter-eggs	https://github.com/vsoch/easter-eggs		Where did I leave those eggs?	2019-04-21T21:03:04Z
vsoch/easybuild-framework	https://github.com/vsoch/easybuild-framework	http://easybuilders.github.io/easybuild/	EasyBuild is a software installation framework in Python that allows you to install software in a structured and robust way. 	2018-05-08T20:12:15Z
vsoch/eb-singularity	https://github.com/vsoch/eb-singularity		Stuff related to integrating EasyBuild & Singularity	2018-01-24T23:27:35Z
vsoch/elm-app-catalog	https://github.com/vsoch/elm-app-catalog		testing development of an app catalog with elm (under development)	2020-04-12T21:23:53Z
vsoch/elm-editors	https://github.com/vsoch/elm-editors		Syntax highlighting for elm (provided here, or linked to)	2020-04-14T22:32:37Z
vsoch/elusive-donut	https://github.com/vsoch/elusive-donut	http://vsoch.github.io/elusive-donut/	catch me if you can! nomnom	2016-06-04T03:48:14Z
vsoch/emscripten	https://github.com/vsoch/emscripten		Getting started with emscripten!	2018-10-15T21:13:37Z
vsoch/encode-demo-workflow	https://github.com/vsoch/encode-demo-workflow	https://vsoch.github.io/encode-demo-workflow	The ENCODE-DCC demo workflow in Snakemake (under development)	2019-08-20T20:45:42Z
vsoch/enzo-simulation	https://github.com/vsoch/enzo-simulation		testing an enzo simulation with MPI, enzo, and Singularity	2017-05-22T23:41:43Z
vsoch/epad-docker	https://github.com/vsoch/epad-docker		migration of docker --> docker-compose --> kubernetes for epad @ Stanford 	2018-06-07T03:15:10Z
vsoch/example.scif	https://github.com/vsoch/example.scif	https://vsoch.github.io/example.scif	a template scientific filesystem with RNA seq tools, as an example for development	2018-06-23T20:42:36Z
vsoch/experiment	https://github.com/vsoch/experiment		design an event or block related experiment in the browser	2015-10-05T17:03:10Z
vsoch/experiments	https://github.com/vsoch/experiments		library of official expfactory experiments	2017-05-22T02:19:08Z
vsoch/expfactory-analysis	https://github.com/vsoch/expfactory-analysis		analysis of results from expfactory experiments	2016-02-04T22:08:41Z
vsoch/expfactory-battery	https://github.com/vsoch/expfactory-battery		psiturk battery template to load experiment factory experiments into	2015-11-25T19:26:20Z
vsoch/expfactory-desktop	https://github.com/vsoch/expfactory-desktop		desktop application for the Experiment Factory (under development)	2016-06-08T00:05:59Z
vsoch/expfactory-docker	https://github.com/vsoch/expfactory-docker		container for deploying behavioral psychology experiments	2015-12-17T04:41:55Z
vsoch/expfactory-experiments	https://github.com/vsoch/expfactory-experiments	http://expfactory.github.io/expfactory-experiments/	javascript experiments that can be deployed to run in an experiment factory infrastructure	2015-11-25T19:50:53Z
vsoch/expfactory-explorer	https://github.com/vsoch/expfactory-explorer		Shiny based data explorer with report templates based on field selection	2016-02-06T20:33:51Z
vsoch/expfactory-games	https://github.com/vsoch/expfactory-games			2016-04-14T22:16:53Z
vsoch/expfactory-python	https://github.com/vsoch/expfactory-python	http://expfactory.github.io/efactory-python	Python module for managing experiment factory javascript experiment files, batteries to deploy them to (eg, psiturk), and virtual machines to host the compilation of those things.	2015-11-26T00:37:44Z
vsoch/expfactory-robots	https://github.com/vsoch/expfactory-robots		experiment robots for testing and previewing container experiments	2017-12-11T15:18:36Z
vsoch/expfactory-surveys	https://github.com/vsoch/expfactory-surveys		experiment factory surveys	2016-03-26T22:00:57Z
vsoch/expfactory-vm	https://github.com/vsoch/expfactory-vm		a virtual machine to deploy the infrastructure on amazon aws	2015-11-26T01:25:42Z
vsoch/expfactory.github.io	https://github.com/vsoch/expfactory.github.io	http://expfactory.github.io	An infrastructure for generating custom web experiments, by Poldracklab at Stanford University	2015-11-26T01:38:33Z
vsoch/explore_drug_database	https://github.com/vsoch/explore_drug_database	http://www.vanessasaur.us/explore_drug_database/demo/	Exploring the official french's drug database	2017-01-30T07:10:25Z
vsoch/facepalm	https://github.com/vsoch/facepalm		Generate smiley confusion matrices. Under development!	2017-03-15T07:06:49Z
vsoch/face_emotions	https://github.com/vsoch/face_emotions		parse library of congress images for faces, extract emotions from faces, make nice database :)	2016-06-10T20:48:36Z
vsoch/FaderNetworks	https://github.com/vsoch/FaderNetworks		Fader Networks: Manipulating Images by Sliding Attributes - NIPS 2017	2017-12-05T02:07:45Z
vsoch/fastq.bio	https://github.com/vsoch/fastq.bio	http://www.fastq.bio	An interactive web tool for quality control of DNA sequencing data	2019-09-12T21:19:49Z
vsoch/find-an-rse	https://github.com/vsoch/find-an-rse		Organization wide community search to help you find an RSE (needs updating)	2019-06-13T17:09:05Z
vsoch/findPlagarism	https://github.com/vsoch/findPlagarism		Find plagarism in text via a Google Search. You will need to tweak the input file to your specific format.	2014-10-11T20:44:53Z
vsoch/firepad	https://github.com/vsoch/firepad		Collaborative Text Editor Powered by Firebase	2016-04-07T22:43:41Z
vsoch/flavours-of-physics-ftw	https://github.com/vsoch/flavours-of-physics-ftw		containers-ftw version of https://www.kaggle.com/c/flavours-of-physics	2017-06-30T21:52:21Z
vsoch/fmriprep-debug	https://github.com/vsoch/fmriprep-debug			2017-07-25T05:31:58Z
vsoch/font-brain	https://github.com/vsoch/font-brain	https://vsoch.github.io/font-brain	font symbols for brain imaging analyses	2015-07-18T23:48:18Z
vsoch/food-db	https://github.com/vsoch/food-db			2016-07-03T03:31:22Z
vsoch/forward	https://github.com/vsoch/forward	https://vsoch.github.io/lessons/sherlock-singularity/	Sherlock Port Forwarding Utility	2018-07-06T22:08:40Z
vsoch/forward-modeling-cognitive-concepts	https://github.com/vsoch/forward-modeling-cognitive-concepts			2016-08-07T21:52:39Z
vsoch/freegenes	https://github.com/vsoch/freegenes	https://vsoch.github.io/freegenes/	FreeGenes BioNode with Django	2019-07-30T18:10:10Z
vsoch/freegenes-python	https://github.com/vsoch/freegenes-python	https://vsoch.github.io/freegenes-python	Python API client for the FreeGenes API	2019-08-19T15:44:41Z
vsoch/fvplay	https://github.com/vsoch/fvplay		MATLAB scripts is intended for visualizing and preparing raw data  for use with a supervised classifier	2012-03-03T05:25:06Z
vsoch/gbmatlas.stanford.edu	https://github.com/vsoch/gbmatlas.stanford.edu		gbmatlas website from gbmatlas.stanford.edu	2016-03-05T19:52:50Z
vsoch/gcloud-actions	https://github.com/vsoch/gcloud-actions		GitHub Actions for interacting with Google Cloud Platform	2019-01-26T23:13:52Z
vsoch/gene-ontology	https://github.com/vsoch/gene-ontology	https://vsoch.github.io/gene-ontology	A small project from graduate school, archived.	2019-04-24T16:29:32Z
vsoch/gene2drug	https://github.com/vsoch/gene2drug		A toolbox to find if gene sets and drugs are meaningfully related [in development]	2014-09-19T21:56:18Z
vsoch/generative-art	https://github.com/vsoch/generative-art		learning to use Processing (Java) with Python to generate... generative art!	2020-01-23T19:59:00Z
vsoch/genetime	https://github.com/vsoch/genetime		"predict ""important"" time periods for a list of gene probes based on RNA-seq expression"	2014-12-15T23:18:19Z
vsoch/gil-speaks	https://github.com/vsoch/gil-speaks	https://vsoch.github.io/gil-speaks/	The things that Gil speaks.	2019-12-02T00:47:45Z
vsoch/gileats	https://github.com/vsoch/gileats	https://vsoch.github.io/gileats	the journey, of what Gil eats	2016-08-31T19:00:48Z
vsoch/github-deploy	https://github.com/vsoch/github-deploy		a Github Action to deploy one or more files to Github Pages	2019-01-09T23:54:05Z
vsoch/github-dockerfiles	https://github.com/vsoch/github-dockerfiles		A dataset to extract container metadata from Github Dockerfiles (under development)	2019-01-13T00:26:09Z
vsoch/gke-jupyter-classroom	https://github.com/vsoch/gke-jupyter-classroom	https://cloud.google.com/solutions/using-tensorflow-jupyterhub-classrooms	Google Container Engine, JupyterHub, and Jupyter for classroom scenarios	2016-10-19T19:28:30Z
vsoch/glassbrains	https://github.com/vsoch/glassbrains	https://vsoch.github.io/glassbrains	A small script (and web interface) to show a bunch of NeuroVault glass brains, from graduate school	2019-04-25T18:50:45Z
vsoch/globus-sample-data-portal	https://github.com/vsoch/globus-sample-data-portal		Globus Sample Data Portal	2018-01-31T23:15:45Z
vsoch/globus-sdk-python	https://github.com/vsoch/globus-sdk-python		Globus SDK for Python	2018-04-14T07:32:17Z
vsoch/go-algorithms	https://github.com/vsoch/go-algorithms		doop dee doo.	2019-02-26T20:39:20Z
